Date,ARCHER-DANIELS-MIDLAND CO,BANK OF AMERICA CORP,CONAGRA BRANDS INC,COLGATE-PALMOLIVE CO,CAMPBELL SOUP CO,JOHNSON & JOHNSON,JPMORGAN CHASE & CO,KELLANOVA,COCA-COLA CO,LILLY (ELI) & CO,MERCK & CO,PFIZER INC,PROCTER & GAMBLE CO,TYSON FOODS INC  -CL A,WALMART INC
1970-11,-0.0634,0.0346,0.0938,0.0677,0.048,0.0367,0.0152,0.038,0.0681,0.0061,0.0114,0.0021,0.087,0,0.0952
1970-12,-0.0152,0.2105,0.01,0.1009,0.0792,-0.0298,0.1234,0.1852,0.0119,0.0063,0.1249,0.0393,-0.0232,-0.0706,0.1522
1971-01,0.05,-0.0145,0.12,-0.0162,0.0201,0.1316,-0.0538,-0.0104,0.0265,0.1233,-0.0379,0.0241,0.0147,0.2903,0.1274
1971-02,0.2125,-0.011,0.1696,0.0268,-0.0076,0.095,0.0081,0.0947,0.0014,0.0199,0.0105,-0.0034,0,-0.0125,0.2218
1971-03,0.0942,0.0323,0.0153,-0.0104,-0.0308,0.0957,0.1245,0.0049,0.0863,0.0947,0.046,0.0108,0.0662,0.1013,0.0822
1971-04,-0.0778,0.1159,0.0227,0.0206,0.0167,0.0939,-0.0743,0.0821,0.0199,-0.0302,0.0362,0.0301,-0.0244,0.2874,0.1139
1971-05,0.0723,0.0184,-0.0667,-0.0911,0,0.0249,-0.0646,-0.0402,0.0468,-0.0075,0.0024,-0.0227,-0.0165,-0.1429,0.108
1971-06,-0.0226,-0.0288,0.0159,0.063,0.0866,0.1127,-0.0423,-0.0798,0.0238,0.0157,-0.0151,0.0272,0.0882,-0.2396,-0.0462
1971-07,-0.1069,-0.0462,0.0315,0.0183,0.008,-0.0234,-0.0531,0,-0.0268,-0.0464,0.0086,-0.0325,0.0347,0.2329,0.2151
1971-08,0.0032,0.0854,-0.1221,0.032,-0.0942,-0.0282,0.014,0.0102,0.0914,0.0247,0.0426,0.1114,0.0807,-0.1667,0.115
1971-09,0.0325,0.0224,0.0435,0.0388,-0.032,-0.0096,0.0294,0.0255,-0.001,-0.0254,0.053,-0.0424,-0.0139,0.1867,-0.1032
1971-10,-0.0094,0.0408,-0.0672,0.0567,-0.0488,-0.0041,-0.0476,-0.0249,0.0046,-0.0565,0.0234,-0.0665,0.0053,-0.1348,0.0796
1971-11,-0.0349,0.0773,-0.073,-0.0427,-0.0175,0.0483,0.0167,0.102,-0.0033,-0.0037,0.0261,0.0102,0.0088,0.0909,-0.0328
1971-12,-0.0265,0.0843,0.0612,0.1609,0.0714,0.0451,0.0674,0.0093,0.127,0.0557,0.0566,0.1295,0.096,0.0833,0.3559
1972-01,-0.0442,-0.0363,-0.0194,0.0425,0.0175,0.0013,0,-0.0926,-0.0184,0.0527,0.0484,-0.0985,0.0239,0.1758,0.05
1972-02,-0.0676,0.0206,0.1089,0.0638,-0.0744,0.0459,-0.04,0.0714,0.0428,0.0949,0.0269,0.1066,0.0734,0.1776,0
1972-03,0.0231,0.0476,0.0089,0.0097,0.0714,0.0728,0.0967,0.0337,0.0123,-0.0057,0.0444,-0.039,0.032,-0.0714,0.3333
1972-04,0.1466,0.0934,-0.0536,-0.0327,-0.0617,0.0543,-0.0256,-0.0512,0.0347,-0.0423,0.0459,-0.0219,0.0367,0.1282,-0.1607
1972-05,0.1082,0.1032,0.0377,0.0717,0.0135,0.0266,-0.0504,-0.0294,0.0192,0.0411,0.0069,0.0486,0.0765,0.0682,0.3404
1972-06,-0.1339,0.1387,-0.0455,0.1022,0.0133,0.0272,-0.0721,0.0153,0.0078,0.029,0.067,0.0367,-0.0533,0.078,-0.0317
1972-07,0.1271,0.0664,0.0769,0.1651,-0.0079,-0.0081,-0.0303,-0.0352,0.0637,0.1222,0.0868,0.0147,0.039,-0.0461,-0.0451
1972-08,-0.061,0.041,-0.0536,-0.0203,-0.04,0.0152,0.1563,0.0269,-0.0053,0.0041,-0.0325,-0.0021,0.0039,-0.1172,0.0987
1972-09,0.0261,-0.0133,-0.0381,-0.0252,-0.0046,0.0081,-0.0636,0.1077,0.0011,-0.0334,0.0064,0.0029,0.0116,-0.0703,-0.0898
1972-10,0.051,0,0.0792,0.0394,0.0847,0.0392,0.0244,0.0556,0.0195,0.0934,0.0427,-0.0437,0.0754,-0.0588,0.1073
1972-11,0.103,-0.0373,0.1271,0.0294,0.1429,-0.0427,0.019,0.1235,-0.0058,-0.0373,-0.0073,0.0722,0.0298,-0.0089,0
1972-12,-0.0111,0.0035,-0.0171,0.0757,0.0152,0.0545,-0.0076,-0.0118,0.0421,0.0494,0.0535,-0.02,0.0312,-0.1892,0.0698
1973-01,0.0223,0.0246,0.1404,-0.0079,-0.0733,-0.0307,-0.0501,-0.0757,-0.0185,-0.0832,0.0547,-0.0233,-0.0212,0.1222,-0.1413
1973-02,0,0.0167,-0.0231,0.0081,0.0813,-0.0423,0.0176,-0.0079,-0.0377,0.155,-0.016,0.0158,-0.0172,0.0891,0.0464
1973-03,0.0275,0.0203,0.0315,0.0227,-0.0451,0.0031,-0.0352,0.1009,-0.0005,0.0193,0.037,-0.0265,-0.055,-0.0909,-0.2661
1973-04,-0.0267,-0.053,-0.0385,-0.0026,-0.0183,-0.0237,-0.0416,-0.004,-0.0125,-0.0627,-0.0771,-0.0424,-0.0098,0.17,-0.0165
1973-05,0.3297,0.0765,-0.088,-0.0984,0.0202,-0.0211,-0.0488,-0.0314,0.0199,0.0786,0.0113,0.0642,-0.0213,-0.188,-0.0168
1973-06,-0.1286,-0.1075,-0.1053,-0.0218,-0.0754,-0.0173,0.005,-0.0583,0.0199,-0.0347,0.0103,0.1164,0.0667,0.1158,-0.3125
1973-07,0.1095,0.1314,0.1386,0.2459,0.0831,0.0373,0.0778,0.0089,0.0061,0.0599,0.0348,0.0562,0.0921,0.1887,0.5868
1973-08,0.2489,-0.0095,-0.0348,-0.054,-0.056,0.0085,-0.1176,0.0358,-0.0217,-0.1389,-0.1218,-0.0575,-0.1293,-0.0476,-0.1177
1973-09,0.1759,0.0261,-0.0541,-0.0114,0.1017,-0.0042,0.1902,-0.0085,0.0415,0.0526,0.0061,-0.0323,0.0051,-0.0083,0.0651
1973-10,0.1026,0,-0.0385,-0.0536,0.0014,0.02,-0.0336,0.0345,-0.0248,0.0281,0.0504,0.0864,0.0462,0.0924,0.0444
1973-11,-0.1995,-0.1242,-0.1075,-0.1143,-0.0698,-0.0331,-0.0989,-0.041,-0.0869,-0.0583,-0.0116,-0.1186,-0.0788,-0.2,-0.3404
1973-12,0.14,0.1529,-0.2706,-0.0829,0,-0.0343,0.0023,0.0877,-0.025,-0.0405,-0.0459,0.0058,-0.0316,0.0481,-0.1371
1974-01,0.1053,-0.1203,0.0645,0.0205,0.139,-0.0588,0.0904,0.1371,-0.0711,-0.0354,-0.0325,-0.1192,-0.0223,0.0459,0.4206
1974-02,-0.0291,-0.079,0.1364,-0.0347,0.0664,-0.0372,0.0276,-0.0488,-0.0213,-0.0422,0.0048,0.0198,-0.0154,0.1228,-0.1184
1974-03,-0.0437,0.0275,-0.08,0.0256,-0.0865,0.0686,-0.0383,-0.0301,-0.038,0.033,0.0347,-0.0312,0.0043,-0.0625,-0.0642
1974-04,-0.1943,-0.0687,-0.1304,0.0409,0.0923,0,-0.0909,0.031,-0.042,0.055,-0.0062,-0.0872,0.0644,-0.1333,0.008
1974-05,-0.1099,-0.2213,-0.1333,0.0097,-0.1329,0.0564,-0.0875,-0.0436,0.0154,0.0149,-0.0171,0.0424,0.0453,-0.1635,0.0794
